,Gender,Age,Acc,CR,Ptime,S_anx1,S_anx2,S_anx3,EBB3,R_tea,Inattention,LC,AC,WE,PL
Tea_ttt132_Control,1,15,2,2,3,2,1,1,1,4,5,16,7,5,6
Tea_ttt133_Control,1,15,2,2,1,1,1,1,1,7,1,7,4,3,3
Tea_ttt134_Control,2,16,2,2,4,2,1,1,1,6,9,7,4,3,3
Tea_ttt135_Control,1,14,2,2,1,5,1,1,1,7,10,7,4,3,3
Tra_ttt130_DN,1,16,2,2,8,2,2,1,1,6,8,17,11,9,5
Tea_ttt136_Control,1,16,2,2,9,1,2,2,2,6,3,14,8,6,6
Tra_ttt131_DN,2,13,2,2,7,3,1,2,1,6,10,19,6,8,7
Tra_ttt132_DN,1,15,2,2,10,5,3,3,1,6,16,30,18,15,10
Tra_ttt133_DN,2,16,2,2,10,5,3,1,2,4,18,27,19,15,15
Tra_ttt134_DN,1,15,2,2,4,5,2,2,2,4,18,25,9,6,10
Tra_ttt135_DN,2,15,2,2,4,2,1,2,1,4,4,18,8,15,5
Tra_ttt136_DN,1,15,2,1,10,5,5,1,1,3,17,24,18,15,15
Tra_ttt137_DN,2,17,2,2,6,2,1,1,1,6,6,16,4,7,5
Tra_ttt138_DN,2,16,2,2,10,5,3,5,1,4,22,23,20,15,7
Tra_ttt139_DN,2,16,2,2,5,2,1,2,1,5,4,14,7,11,3
Tea_ttt137_Control,1,13,1,1,10,1,1,1,1,5,4,14,4,3,6
Tea_ttt138_Control,1,14,1,2,1,4,2,2,1,5,12,10,10,10,4
Tra_ttt140_DN,1,16,2,2,10,1,1,1,1,4,17,35,4,11,15
Tea_ttt139_Control,2,14,1,1,2,1,1,1,1,4,4,9,4,8,5
Tea_ttt140_Control,1,16,2,1,5,1,1,1,1,4,10,10,4,4,5
Tea_ttt141_Control,2,14,2,2,3,2,1,1,1,6,4,18,6,7,7
Tra_ttt141_DN,1,15,2,2,2,1,1,1,1,5,5,7,4,3,3
Tea_ttt142_Control,2,14,1,1,2,1,1,1,1,6,7,16,6,6,6
Tea_ttt143_Control,1,16,2,2,6,1,1,1,1,5,7,10,11,15,3
Tea_ttt144_Control,1,12,1,1,2,1,1,1,1,6,2,7,4,6,3
Tra_ttt142_DN,2,16,2,2,6,4,3,2,1,4,5,20,5,7,5
Tra_ttt143_DN,2,16,2,1,10,2,2,5,5,5,27,35,20,15,11
Tra_ttt144_DN,2,16,2,2,10,2,1,2,1,4,9,21,15,12,11
Tea_ttt145_Control,1,13,2,2,1,1,1,1,2,3,3,8,6,4,3
Tra_ttt145_DN,2,16,2,2,4,2,2,1,1,5,8,11,11,10,6
Tea_ttt146_Control,1,14,1,1,2,2,1,1,1,6,3,7,4,5,3
Tra_ttt146_DN,1,15,2,2,5,4,4,4,4,5,16,22,12,10,10
Tra_ttt147_DN,1,16,2,1,8,2,5,5,1,5,6,14,8,7,7
Tea_ttt147_Control,2,15,2,2,4,1,1,1,1,6,2,7,4,5,4
Tea_ttt148_Control,2,16,2,2,6,1,1,1,1,6,5,10,4,5,6
Tra_ttt148_DN,2,16,2,2,10,5,2,1,1,6,22,7,4,3,3
Tea_ttt149_Control,2,13,1,1,1,1,1,1,1,6,2,7,4,3,3
Tea_ttt150_Control,1,13,1,1,1,1,1,1,2,5,17,15,4,10,8
Tea_ttt151_Control,2,14,1,1,3,2,1,1,1,1,4,11,9,13,5
Tea_ttt152_Control,2,13,2,2,6,2,1,1,2,6,5,18,4,5,5
Tea_ttt153_Control,1,16,2,2,3,2,1,1,1,4,8,15,4,8,3
Tra_ttt149_DN,1,12,1,1,2,3,2,2,1,4,14,23,10,15,9
Tea_ttt154_Control,1,15,2,2,10,1,1,1,1,6,6,19,6,8,10
Tra_ttt150_DN,1,17,2,2,6,2,1,1,2,4,20,21,6,9,11
Tra_ttt151_DN,1,16,2,2,8,2,2,2,2,4,12,14,8,6,6
Tea_ttt155_Control,1,15,2,2,3,1,1,1,1,6,1,11,4,3,8
Tra_ttt152_DN,1,15,2,2,1,5,4,4,1,4,13,8,4,7,3
Tra_ttt153_DN,2,12,1,1,8,1,1,1,1,4,12,23,9,11,10
Tea_ttt156_Control,2,16,2,2,4,2,2,1,1,6,6,13,4,12,3
Tea_ttt157_Control,1,14,2,2,3,1,1,1,1,6,8,18,5,10,6
Tea_ttt158_Control,2,15,2,2,1,2,3,3,1,5,9,8,4,6,5
Tea_ttt159_Control,1,16,2,2,5,1,1,1,1,6,11,17,9,6,5
Tea_ttt160_Control,1,16,2,2,8,1,1,1,3,5,10,20,9,9,6
Tea_ttt161_Control,1,13,1,1,2,1,1,2,1,5,2,14,12,4,5
Tra_ttt154_DN,2,15,2,2,4,4,3,2,2,4,8,21,6,11,8
Tra_ttt155_DN,1,14,2,2,10,5,5,5,1,4,6,28,20,15,3
Tra_ttt156_DN,2,15,2,2,3,3,2,2,1,4,6,13,7,8,7
Tea_ttt162_Control,1,15,2,2,3,2,1,1,1,5,3,22,4,8,7
Tra_ttt157_DN,1,15,2,2,7,2,2,1,2,5,7,17,6,7,6
Tra_ttt158_DN,2,14,1,1,2,5,3,5,1,3,11,21,9,5,7
Tra_ttt159_DN,1,12,1,1,1,1,1,1,2,4,17,30,7,15,9
Tra_ttt160_DN,1,16,2,2,3,5,5,1,1,5,4,10,6,15,3
Tea_ttt163_Control,2,14,1,1,1,1,1,1,1,4,3,20,5,7,4
